record_id,event_timestamp_utc,source_system,depot_id,depot_name,region,product_code,tank_id,pipeline_segment,flow_rate_lpm,pressure_psi,temperature_c,inventory_litres,pump_status,valve_status,api_weather_condition,api_temperature_c,scraped_market_price_usd_bbl,operator_shift,incident_flag,maintenance_required,ingested_at_utc,batch_id,quality_issue_type,missing_record_flag,null_record_flag,source_url,d_depot_name,source
OPS-00002,"2026-03-01 00:15:00+00:00",SCADA,DPT005,"Nakuru Depot","Rift Valley",PMS,T10,Nairobi-Eldoret,616.9,97.72,26.6,1589442.98,STOPPED,PARTIAL,Windy,25.9,78.09,Day,0,0,2026-03-01T00:27:00Z,BATCH-20260301,VALID,0,0,https://ops.example.local/dpt005/pms,"Nakuru Depot",SQLite
OPS-00003,"2026-03-01 00:30:00+00:00",WEB_SCRAPE,DPT002,"Mombasa Terminal",Coast,JET-A1,T17,Eldoret-Kisumu,1222.52,74.48,21.1,997636.09,RUNNING,OPEN,"Light Rain",29.3,98.8,Day,0,0,2026-03-01T00:35:00Z,BATCH-20260301,VALID,0,0,https://ops.example.local/dpt002/jet-a1,"Mombasa Terminal",SQLite
OPS-00004,"2026-03-01 00:45:00+00:00",SCADA,DPT001,"Nairobi Terminal",Central,IK,T18,Nairobi-Eldoret,508.4,49.22,18.6,484231.54,STOPPED,OPEN,Cloudy,32.2,74.76,Day,0,0,2026-03-01T01:11:00Z,BATCH-20260301,VALID,0,0,https://ops.example.local/dpt001/ik,"Nairobi Terminal",SQLite
OPS-00005,"2026-03-01 01:00:00+00:00",WEB_SCRAPE,DPT005,"Nakuru Depot","Rift Valley",IK,T05,Mombasa-Nairobi,535.83,73.03,34.6,2129380.16,RUNNING,OPEN,Windy,19.2,93.49,Day,0,0,2026-03-01T01:34:00Z,BATCH-20260301,VALID,0,0,https://ops.example.local/dpt005/ik,"Nakuru Depot",SQLite
OPS-00006,"2026-03-01 01:15:00+00:00",SQL_DB,DPT005,"Nakuru Depot","Rift Valley",IK,T14,Nairobi-Eldoret,994.28,133.24,19.6,2870541.28,RUNNING,OPEN,"Light Rain",17.3,85.11,Day,0,0,2026-03-01T01:24:00Z,BATCH-20260301,VALID,0,0,https://ops.example.local/dpt005/ik,"Nakuru Depot",SQLite
OPS-00007,"2026-03-01 01:30:00+00:00",WEB_SCRAPE,DPT006,"Morendat Training Hub",Central,PMS,T01,Mombasa-Nairobi,752.42,164.63,26.2,2589784.01,STOPPED,OPEN,"Heavy Rain",25.2,101.01,Day,0,1,2026-03-01T01:58:00Z,BATCH-20260301,VALID,0,0,https://ops.example.local/dpt006/pms,"Morendat Training Hub",SQLite
OPS-00008,"2026-03-01 01:45:00+00:00",SCADA,DPT002,"Mombasa Terminal",Coast,PMS,T15,Nairobi-Eldoret,857.87,147.57,28.3,1781556.44,RUNNING,PARTIAL,"Light Rain",24.4,88.83,Day,0,0,2026-03-01T01:53:00Z,BATCH-20260301,VALID,0,0,https://ops.example.local/dpt002/pms,"Mombasa Terminal",SQLite
OPS-00009,"2026-03-01 02:00:00+00:00",WEB_SCRAPE,DPT005,"Nakuru Depot","Rift Valley",JET-A1,T08,Nairobi-Eldoret,1251.98,48.19,33.1,2135408.09,RUNNING,PARTIAL,Cloudy,25.1,103.62,Day,0,0,2026-03-01T02:22:00Z,BATCH-20260301,VALID,0,0,https://ops.example.local/dpt005/jet-a1,"Nakuru Depot",SQLite
OPS-00010,"2026-03-01 02:15:00+00:00",API,DPT006,"Morendat Training Hub",Central,IK,T04,Eldoret-Kisumu,1029.47,180.53,33.0,2191529.47,RUNNING,OPEN,Clear,20.1,82.66,Day,0,0,2026-03-01T02:31:00Z,BATCH-20260301,VALID,0,0,https://ops.example.local/dpt006/ik,"Morendat Training Hub",SQLite
OPS-00011,"2026-03-01 02:30:00+00:00",SQL_DB,DPT002,"Mombasa Terminal",Coast,JET-A1,T11,Nairobi-Eldoret,869.15,72.31,31.6,2726007.62,RUNNING,PARTIAL,Clear,27.1,111.51,Day,0,0,2026-03-01T03:05:00Z,BATCH-20260301,VALID,0,0,https://ops.example.local/dpt002/jet-a1,"Mombasa Terminal",SQLite
