record_id,event_date,depot_id,depot_name,region,product_code,pressure_psi,flow_rate_lpm,temperature_c,incident_flag,maintenance_required,event_timestamp_utc,Shift
1,2026-06-25,1,Main Depot,West,A,208.772127440529,1389.61846558518,60.1871833239295,False,False,2026-06-25 00:00:00,Afternoon
2,2026-06-25,1,Main Depot,Central,A,174.5632275609654,838.6829045223067,80.51607353313283,False,False,2026-06-25 00:02:00,Night
3,2026-06-25,1,Main Depot,East,A,273.8983798956798,1092.21532827487,61.167795184355256,False,False,2026-06-25 00:04:00,Afternoon
4,2026-06-25,1,Main Depot,Central,A,207.58502496019605,791.6061952322439,69.98931407582458,False,False,2026-06-25 00:06:00,Afternoon
5,2026-06-25,1,Main Depot,Central,A,130.28043567273778,973.2850127409456,80.56952550107303,False,False,2026-06-25 00:08:00,Night
6,2026-06-25,1,Main Depot,South,A,222.8442480095784,760.0393865171,53.39306332362246,False,False,2026-06-25 00:10:00,Morning
7,2026-06-25,1,Main Depot,East,A,214.02956006320173,1046.5537882398062,84.27509185410423,False,False,2026-06-25 00:12:00,Morning
8,2026-06-25,1,Main Depot,East,A,263.32685966315296,812.0094291869341,73.07814135881303,False,False,2026-06-25 00:14:00,Morning
9,2026-06-25,1,Main Depot,East,A,224.50995026525,629.4311333750646,64.8448677656578,False,False,2026-06-25 00:16:00,Morning
10,2026-06-25,1,Main Depot,Central,A,175.84838791384823,1252.2168731782558,62.23682257403991,False,False,2026-06-25 00:18:00,Night
11,2026-06-25,1,Main Depot,West,A,274.59611611293127,702.604089696334,83.17458462206018,False,False,2026-06-25 00:20:00,Night
12,2026-06-25,1,Main Depot,East,A,248.25911775712535,894.4310392935245,53.22899310118665,False,False,2026-06-25 00:22:00,Night
13,2026-06-25,1,Main Depot,Central,A,220.8668189410167,981.7420872889622,57.467330273838456,False,False,2026-06-25 00:24:00,Afternoon
14,2026-06-25,1,Main Depot,South,A,166.86803254449967,945.9840003375418,57.31171022191699,False,False,2026-06-25 00:26:00,Night
15,2026-06-25,1,Main Depot,West,A,179.7664474102873,1180.5326109520072,56.56025338937854,False,False,2026-06-25 00:28:00,Morning
16,2026-06-25,1,Main Depot,South,A,227.19518785546504,1077.4212767447557,63.74152180862757,False,False,2026-06-25 00:30:00,Afternoon
17,2026-06-25,1,Main Depot,West,A,131.51693095413148,836.2969461659887,84.56716933071333,False,False,2026-06-25 00:32:00,Morning
18,2026-06-25,1,Main Depot,Central,A,161.06889466404215,641.3623998725361,80.5514706686487,False,False,2026-06-25 00:34:00,Morning
19,2026-06-25,1,Main Depot,North,A,234.22414934345568,1214.0760946025412,58.117982732859446,False,False,2026-06-25 00:36:00,Night
20,2026-06-25,1,Main Depot,West,A,196.80296157513936,882.0217013427373,61.91480462920551,False,False,2026-06-25 00:38:00,Night
21,2026-06-25,1,Main Depot,West,A,190.6958455164372,1174.1268849101657,77.80614634742591,False,False,2026-06-25 00:44:00,Afternoon
